meas,clevel,cv_goal,n,level,sd,cv
Cl,Control L,1.65%,34,140.46,8.28,5.89%
Cl,Control M,1.65%,43,167.27,53.81,32.17%
Cl,Control H,1.65%,29,203.63,10.9,5.35%
Na,Control L,1.65%,26,104.64,5.57,5.32%
Na,Control M,1.65%,36,143.93,8.57,5.96%
Na,Control H,1.65%,26,167.04,8.33,4.99%
K,Control L,3.30%,31,1.26,0.02,1.95%
K,Control M,1.65%,40,1.51,0.06,4.04%
K,Control H,1.65%,20,1.9,0.04,2.18%
AMY,Control L,NCR,36,-170.78,25.68,-15.04%
AMY,Control M,8.25%,46,-81.1,13.9,-17.13%
AMY,Control H,8.25%,29,64.24,12.81,19.94%
TRIG,Control L,NCR,36,115.22,29.62,25.70%
TRIG,Control M,8.25%,46,199.82,5.33,2.67%
TRIG,Control H,8.25%,29,309.47,10.77,3.48%
BUN,Control L,4.95%,36,21.87,3.82,17.46%
BUN,Control M,3.96%,46,57.54,2.64,4.58%
BUN,Control H,3.96%,29,98.41,5.48,5.57%
Mg,Control L,6.60%,34,1.15,0.09,7.89%
Mg,Control M,6.60%,45,2.57,0.07,2.66%
Mg,Control H,6.60%,29,4.26,0.1,2.29%
GLU,Control L,3.30%,38,51.24,7.93,15.48%
GLU,Control M,6.60%,48,96.55,1.41,1.46%
GLU,Control H,6.60%,29,319.72,5.41,1.69%
ALB,Control L,4.95%,38,2.13,0.39,18.12%
ALB,Control M,4.95%,48,2.96,0.06,1.95%
ALB,Control H,4.95%,29,3.77,0.07,1.88%
CHOL,Control L,6.60%,38,103.91,18.04,17.36%
CHOL,Control M,6.60%,48,189.95,2.51,1.32%
CHOL,Control H,6.60%,29,273.22,5.16,1.89%
tCO2,Control L,6.60%,38,17.03,19.23,112.91%
tCO2,Control M,6.60%,48,20.62,14.88,72.17%
tCO2,Control H,6.60%,28,28.33,16.87,59.56%
TP,Control L,3.30%,37,4.05,0.66,16.23%
TP,Control M,3.30%,48,5.52,0.08,1.54%
TP,Control H,3.30%,29,7,0.13,1.88%
PHOS,Control L,6.60%,38,1.24,0.39,31.12%
PHOS,Control M,4.95%,48,3.87,0.08,2.05%
PHOS,Control H,4.95%,29,7.38,0.2,2.77%
Ca,Control L,3.30%,34,8.17,0.52,6.36%
Ca,Control M,3.30%,45,13.19,1.23,9.30%
Ca,Control H,3.30%,29,16.83,0.86,5.11%
AST,Control L,NCR,36,25.9,7.46,28.82%
AST,Control M,9.90%,46,92.43,3.87,4.19%
AST,Control H,9.90%,29,190.85,5.58,2.93%
LAC,Control L,NCR,34,1.48,0.03,2.26%
LAC,Control M,13.20%,45,3.22,0.05,1.50%
LAC,Control H,13.20%,29,5.4,0.05,0.98%
ALT,Control L,NCR,34,66.87,2.83,4.23%
ALT,Control M,8.25%,44,93.58,2.74,2.93%
ALT,Control H,8.25%,29,167.63,5.71,3.40%
GGT,Control L,NCR,37,41.1,4.16,10.11%
GGT,Control M,6.60%,44,129.47,9.22,7.12%
GGT,Control H,6.60%,31,184.77,16.4,8.88%
TBIL,Control L,NCR,37,0.66,0.04,6.21%
TBIL,Control M,9.90%,44,2.93,0.05,1.55%
TBIL,Control H,9.90%,31,6.8,0.11,1.56%
CK,Control L,NCR,37,72.63,5.58,7.68%
CK,Control M,9.90%,44,233.64,8.72,3.73%
CK,Control H,9.90%,31,540.4,92.08,17.04%
ALP,Control L,NCR,36,45.51,6.25,13.74%
ALP,Control M,8.25%,41,172.3,2.17,1.26%
ALP,Control H,8.25%,27,338.16,6.1,1.81%
CREA,Control L,6.60%,36,0.7,0.19,27.04%
CREA,Control M,6.60%,42,1.8,0.06,3.33%
CREA,Control H,6.60%,27,6.29,0.09,1.48%
