ID,L I H,Species
3212911_03,#N/A,Feline
3217111_07,0  0  0,Feline
3226477_04,0  0  0,Feline
3199557_03,0  0  0,Feline
3217786_03,1  0  1,Feline
3196853_03,0  0  3,Feline
3199469_04,0  0  0,Feline
3219272_04,0  0  0,Feline
3211967_03,0  0  0,Feline
3222296_03,1  0  0,Feline
3195627_01,2  0  0,Feline
3210220_03,0  0  0,Feline
3213584_03,0  0  1,Feline
3199478_01,0  0  2,Feline
3216700_03,0  0  0,Feline
3219617_03,0  0  0,Feline
3217210_01,9 9 2009,Feline
3214194_03,1  0  0,Feline
3217832_03,0  0  1,Feline
3219986_04,0  0  0,Feline
3195004_01,0  0  3,Feline
3226947_03,0  0  0,Feline
3222217_03,1  0  0,Feline
3210001_03,1  0  0,Feline
3214461_01,0  0  0,Feline
3204651_04,0  0  0,Feline
3196844_03,0  0  0,Feline
3217145_03,0  0  2,Feline
3215207_03,0  0  0,Feline
3209784_03,0  0  0,Feline
3206358_05,0  0  0,Feline
3198351_01,0  0  0,Feline
3214136_02,0  0  0,Feline
3198886_01,0  0  0,Feline
3159875_05,0  0  0,Feline
3159881_05,0  0  0,Feline
3164002_03,0  0  0,Feline
3213805_03,0  0  0,Feline
3221788_03,2  0  0,Feline
4800751S,1  0  0,Feline
4800724S,0  0  0,Feline
4826751S,0  0  0,Feline
3217323_01,1  0  0,Feline
4821270S,0  0  0,Feline
3169118_03,0  0  0,Feline
3218144_03,0  0  0,Feline
4822788S,0  0  0,Feline
3212935_01,0  0  0,Feline
4820249S,0  0  0,Feline
3168762_01,1  0  0,Feline
3167831_03,0  0  2,Feline
3222558_04,0  0  0,Canine
3200779_01,0  0  0,Canine
3216772_01,0  0  0,Canine
3213891_03,#N/A,Canine
3226774_03,0  0  0,Canine
3207251_03,0  0  0,Canine
3201789_03,0  0  0,Canine
3207802_03,0  0  1,Canine
3208541_03,2  0  0,Canine
3201111_01,0  0  0,Canine
3212416_01,0  0  0,Canine
3214427_03,0  0  0,Canine
3196050_02,1  0  1,Canine
3206235_03,9 9 2009,Canine
3204515_03,1  0  1,Canine
3196081_04,0  0  0,Canine
3201627_01,1  0  0,Canine
3214428_01,1  0  0,Canine
3195920_01,0  0  0,Canine
3196090_03,0  0  0,Canine
3223614_03,0  0  0,Canine
3204190_04,0  0  1,Canine
3225950_03,1  0  0,Canine
3219843_03,0  0  0,Canine
3195075_03,9 9 2009,Canine
3203329_02,0  0  0,Canine
3195059_02,1  0  0,Canine
3226641_03,0  0  0,Canine
3197008_03,0  0  2,Canine
3203976_06,1  0  0,Canine
3199290_03,#N/A,Canine
3211753_01,0  0  0,Canine
3201367_03,0  0  0,Canine
3207854_01,0  0  0,Canine
3209248_03,0  0  0,Canine
3197861_03,0  0  0,Canine
3224859_03,0  0  0,Canine
3197857_01,3  0  0,Canine
3224621_01,2  0  3,Canine
3215689_03,0  0  0,Canine
3217036_01,0  0  0,Canine
3209670_03,0  0  0,Canine
3227462_03,0  0  0,Canine
3226639_03,0  0  0,Canine
