assay,level,bias_per,lci,uci,species,unit,num_within,per_within,tot_points
ALT,115,-1.4,-10.8,4.2,canine,U/L,18,85.7,21
ALT,66.9,0,-6.4,6.2,canine,U/L,18,85.7,21
ALT,93.6,-1,-8.7,4.8,canine,U/L,18,85.7,21
ALT,167.6,-2.1,-13.5,4.1,canine,U/L,18,85.7,21
ALT,115,-1.2,-8.7,3.1,feline,U/L,15,88.2,17
ALT,66.9,-0.1,-6.2,4.9,feline,U/L,15,88.2,17
ALT,93.6,-0.9,-7.2,3.3,feline,U/L,15,88.2,17
ALT,167.6,-1.6,-10.6,2.8,feline,U/L,15,88.2,17
ALB,2.5,-0,-2.2,1.7,canine,g/dL,33,97.1,34
ALB,4.4,0.1,-1.5,2.2,canine,g/dL,33,97.1,34
ALB,2.13,-0.1,-3.6,2.7,canine,g/dL,33,97.1,34
ALB,2.96,-0,-1.1,1.1,canine,g/dL,33,97.1,34
ALB,3.77,0,-1.1,1.6,canine,g/dL,33,97.1,34
ALB,2.5,-0,-2.3,3.2,feline,g/dL,28,87.5,32
ALB,4.4,-0.1,-6.2,2.1,feline,g/dL,28,87.5,32
ALB,2.13,0,-2.4,6.1,feline,g/dL,28,87.5,32
ALB,2.96,-0.1,-2.3,2,feline,g/dL,28,87.5,32
ALB,3.77,-0.1,-4.5,2,feline,g/dL,28,87.5,32
ALP,20,0.2,-8.4,5,canine,U/L,25,96.2,26
ALP,150,-0,-2.8,2.8,canine,U/L,25,96.2,26
ALP,45.5,0.1,-3,2.4,canine,U/L,25,96.2,26
ALP,172.3,-0,-2.8,2.8,canine,U/L,25,96.2,26
ALP,338.2,-0.1,-3,3.2,canine,U/L,25,96.2,26
ALP,20,-0.1,-17.4,10.5,feline,U/L,23,95.8,24
ALP,150,1,-10.5,26.4,feline,U/L,23,95.8,24
ALP,45.5,0.6,-5.9,13.5,feline,U/L,23,95.8,24
ALP,172.3,1,-10.9,27.1,feline,U/L,23,95.8,24
ALP,338.2,1.1,-12,29.7,feline,U/L,23,95.8,24
AST,45,0,-3.8,4.2,canine,U/L,13,100,13
AST,92.4,-0.1,-7,7.6,canine,U/L,13,100,13
AST,190.8,-0.1,-9.2,10.2,canine,U/L,13,100,13
AST,45,0,-5.5,5.1,feline,U/L,16,100,16
AST,92.4,-0,-3.4,4.3,feline,U/L,16,100,16
AST,190.8,-0.1,-4.1,6.1,feline,U/L,16,100,16
TBIL,0.4,-1.9,-206.7,276.8,canine,mg/dL,4,100,4
TBIL,0.6,-0.8,-62.4,67.8,canine,mg/dL,4,100,4
TBIL,0.66,-0.6,-36.2,29.9,canine,mg/dL,4,100,4
TBIL,2.93,1,-264.5,167,canine,mg/dL,4,100,4
TBIL,6.8,1.3,-313.2,200.7,canine,mg/dL,4,100,4
TBIL,0.4,13.9,-480,1484.2,feline,mg/dL,3,75,4
TBIL,0.6,3.3,-198.9,34.3,feline,mg/dL,3,75,4
TBIL,0.66,1.3,-504.9,127.8,feline,mg/dL,3,75,4
TBIL,2.93,-13.6,-2875.7,852.2,feline,mg/dL,3,75,4
TBIL,6.8,-16.1,-3268,972.1,feline,mg/dL,3,75,4
BUN,7,0.6,-6.3,11.3,canine,mg/dL,26,86.7,30
BUN,25,-0.1,-3,2.4,canine,mg/dL,26,86.7,30
BUN,21.87,-0,-2.9,2.4,canine,mg/dL,26,86.7,30
BUN,57.54,-0.2,-4.7,3.1,canine,mg/dL,26,86.7,30
BUN,98.41,-0.3,-5.3,3.4,canine,mg/dL,26,86.7,30
BUN,7,0.1,-17.1,13.7,feline,mg/dL,24,96,25
BUN,25,0,-1.9,2.1,feline,mg/dL,24,96,25
BUN,21.87,0,-1.8,1.8,feline,mg/dL,24,96,25
BUN,57.54,0,-4.4,4.8,feline,mg/dL,24,96,25
BUN,98.41,0,-5.3,5.8,feline,mg/dL,24,96,25
Ca,8.6,0.4,-2.9,3.4,canine,mg/dL,22,84.6,26
Ca,11.8,-1.3,-7.4,4.1,canine,mg/dL,22,84.6,26
